domain,threshold,n_eligible_q,n_pred,coverage,mae_lo,mae_lo_ci,mae_hi,mae_hi_ci
drugs,1,2121,2121,1.0,8.66006600660066,"[8.22,9.12]",14.634606317774635,"[13.99,15.37]"
weapon,1,1272,1272,1.0,17.56171383647799,"[15.91,19.29]",26.53262578616352,"[23.99,29.46]"
drugs,2,2121,1335,0.6294200848656294,9.09250936329588,"[8.53,9.66]",15.082397003745319,"[14.20,15.96]"
weapon,2,1272,512,0.4025157232704403,19.3271484375,"[16.88,22.24]",28.23828125,"[24.12,33.15]"
drugs,3,2121,699,0.32956152758132956,8.409871244635193,"[7.71,9.16]",13.572246065808297,"[12.49,14.77]"
weapon,3,1272,138,0.10849056603773585,18.094202898550726,"[15.08,21.69]",26.66304347826087,"[22.41,31.69]"
drugs,exact,2121,2106,0.9929278642149929,8.500712250712251,"[8.07,8.93]",14.24406457739791,"[13.56,14.97]"
weapon,exact,1272,1269,0.9976415094339622,16.92001576044129,"[15.29,18.63]",25.34554767533491,"[22.79,28.47]"
