domain,top1_bucket,n,mean_error
drugs,"[0,50)",85,16.76764705882353
drugs,"[50,70)",531,9.86111111111111
drugs,"[70,85)",853,7.286342321219227
drugs,"[85,100)",1047,5.494269340974212
weapon,"[0,50)",53,19.452830188679247
weapon,"[50,70)",234,16.715811965811966
weapon,"[70,85)",510,15.574019607843137
weapon,"[85,100)",891,13.781144781144782
