domain,pool_size,recall_citation_1hop,n_test
drugs,10,0.039928661529079944,956
drugs,50,0.12790978779472503,956
drugs,100,0.18863324320960304,956
drugs,500,0.463608120145777,956
drugs,1000,0.6855056118915952,956
weapon,10,0.056072695035460994,564
weapon,50,0.18867429359450635,564
weapon,100,0.26740614094337495,564
weapon,500,0.602785517280198,564
weapon,1000,0.8535830378250592,564
