domain,K,baseline_overlap,filtered_overlap,delta_pp
drugs,3,0.09023861171366593,0.22287750337879345,13.263889166512751
drugs,5,0.0855531453362256,0.21452266863251013,12.896952329628453
drugs,10,0.07457700650759218,0.20154810173239954,12.697109522480737
drugs,20,0.06373101952277659,0.19056395134537413,12.683293182259753
weapon,3,0.22138522703494454,0.37308512701182855,15.169989997688402
weapon,5,0.20100439422473323,0.35741710296684126,15.641270874210802
weapon,10,0.18047708725674827,0.33868528214077953,15.820819488403126
weapon,20,0.15856873822975517,0.3198952879581151,16.132654972835994
