model,domain,K,lo_mae_mean,lo_mae_std,hi_mae_mean,hi_mae_std,avg_mae,n_test
baseline (no filter),drugs,3,6.415184381778742,0.2832053147535826,10.285466377440347,0.31084152140331806,8.350325379609544,2305
baseline (no filter),drugs,5,6.3783080260303695,0.2882119776339052,10.275054229934925,0.3575341402446994,8.326681127982647,2305
baseline (no filter),drugs,10,6.365075921908893,0.2943377865099977,10.234490238611714,0.31389286967216956,8.299783080260305,2305
baseline (no filter),drugs,20,6.366377440347072,0.264974587530265,10.266160520607375,0.27015500859102015,8.316268980477224,2305
baseline (no filter),weapon,3,12.644324927996239,1.0305826160644527,18.663616058308353,1.6060464023548136,15.653970493152297,1593
baseline (no filter),weapon,5,12.595961911479458,1.1029983641812402,18.46035972491624,1.9051124554621015,15.52816081819785,1593
baseline (no filter),weapon,10,12.44355786751308,1.0398986581169736,18.45876976429789,1.8793982949214578,15.451163815905485,1593
baseline (no filter),weapon,20,12.451578204902134,0.9975128327543035,18.473194028096163,1.8556606231629071,15.462386116499149,1593
filtered (offense + backfill cap=12),drugs,3,6.13979764457701,0.3161550947219099,9.973720207090873,0.5500511833220078,8.056758925833941,2508
filtered (offense + backfill cap=12),drugs,5,6.107928645455063,0.3216642215133523,9.901144760171453,0.5450926693736864,8.004536702813258,2515
filtered (offense + backfill cap=12),drugs,10,6.046627395543594,0.3347624936045016,9.741255728492003,0.5416363965570129,7.893941562017799,2516
filtered (offense + backfill cap=12),drugs,20,6.0049108410099565,0.36009810031054323,9.701039218677934,0.562521610840748,7.852975029843945,2516
filtered (offense + backfill cap=12),weapon,3,14.25597054886581,1.7975363697601883,21.11882483329599,3.679583227359471,17.6873976910809,1688
filtered (offense + backfill cap=12),weapon,5,13.803450924833353,1.9061814263198185,20.550079259143565,3.974718883889132,17.176765091988457,1688
filtered (offense + backfill cap=12),weapon,10,13.793310678402452,1.8968244609716656,20.515506330208428,3.9188536298424888,17.15440850430544,1688
filtered (offense + backfill cap=12),weapon,20,13.900414620005364,1.8191576041891073,20.819275048190825,3.530832965164753,17.359844834098094,1688
