min_k,domain,n_paired,mean_diff_cit_minus_sup,ci_low,ci_hi,wilcoxon_p,sig_95ci
1,drugs,2352,-0.476,-0.763,-0.158,6.784862325483154e-13,✓
1,weapon,1630,-0.446,-1.072,0.173,0.027264884882309742,✗
3,drugs,2119,-0.741,-0.947,-0.539,2.0076326760192242e-15,✓
3,weapon,1516,-0.776,-1.328,-0.188,0.004930429816482504,✓
10,drugs,1627,-0.901,-1.146,-0.68,3.1840915398246817e-16,✓
10,weapon,1268,-0.614,-1.143,-0.094,0.004193672679090266,✓
