domain,method,n,mae_lo,mae_lo_ci_low,mae_lo_ci_hi,mae_hi,mae_hi_ci_low,mae_hi_ci_hi
drugs,global_median,2713,8.496129745669002,8.108708072244747,8.91009030593439,13.978621452266863,13.401308514559528,14.595669001105787
drugs,random_llm,2473,6.376870198139911,5.990664173069146,6.788121714516781,10.097250303275374,9.516371815608574,10.652133036797412
drugs,offense_matched_random,2517,8.7222884386174,8.369224274930474,9.116274334525228,14.353396901072706,13.769949344457688,14.967794000794596
drugs,tfidf_ridge,2713,7.3943337206625905,7.07792838637915,7.766136046711238,12.048300763533923,11.604747663509158,12.55701615305339
drugs,bm25,2713,6.648728345005529,6.309933652782897,7.012168263914486,10.598783634353115,10.088803907113896,11.13087449318098
drugs,citation_llm,2352,5.262329931972789,4.890056335034013,5.689673681972789,8.12733843537415,7.6359640731292515,8.682435161564625
drugs,sup_only,2713,5.887946922226318,5.584578879469222,6.222677847401401,9.383708072244747,8.945226686325102,9.86712587541467
drugs,sup_llm,2713,5.688720973092518,5.386090121636565,6.013089753040914,9.120899373387394,8.659938260228529,9.577437338739403
drugs,llm_best,2713,4.973092517508293,4.682772760781423,5.2948857353483225,7.71876151861408,7.28599336527829,8.15778658311832
weapon,global_median,1719,17.472949389179757,16.04650959860384,19.06871727748691,26.16346713205352,24.089310645724257,28.610325770796972
weapon,random_llm,1669,15.034152186938286,13.622206411024566,16.607287297783103,21.87028160575195,19.86518124625524,24.189260035949665
weapon,offense_matched_random,1387,18.23431867339582,16.579911679884642,20.085084715212687,27.299567411679885,24.76142754145638,30.325522710886805
weapon,tfidf_ridge,1719,16.383640153684663,15.237689632802564,17.627330311080705,23.86602828352919,22.140266862834714,25.854585572365824
weapon,bm25,1719,15.259744037230949,14.172578534031413,16.465503199534613,21.773996509598604,20.141455788248983,23.68939790575916
weapon,citation_llm,1630,12.353067484662576,11.145460122699387,13.633228527607361,18.05766871165644,16.169547546012268,20.167346625766868
weapon,sup_only,1719,13.852530541012216,12.492859220477023,15.358718731820826,20.522105875509016,18.56103112274578,22.767524723676555
weapon,sup_llm,1719,13.025596276905178,11.802348749272834,14.379297556719024,19.24258289703316,17.422033158813264,21.261707388016287
weapon,llm_best,1719,11.849912739965095,10.773974694589878,13.033166084933102,17.06544502617801,15.4021524141943,18.896749563699824
