pool_size,domain,mean_cands_w_llm,mae_lo,mae_hi,mae_lo_std,mae_hi_std
10,drugs,10.0,5.888152950336843,9.38427299502353,0.3544080660989925,0.561240423808892
10,weapon,10.0,13.848664521386983,20.51863200611657,1.9251622149949872,3.860850391816422
20,drugs,20.0,5.805462947290024,9.278725075324148,0.3778045016699456,0.5755484435296001
20,weapon,20.0,13.75572630040077,20.201871938565464,1.7029411140466248,3.3461549324270567
50,drugs,27.050897457598428,5.746702325738854,9.227586918988456,0.38645200825916587,0.6651587653259526
50,weapon,30.28734425017434,13.23717495231934,19.499050587711412,1.7716172582558987,3.5943374629751523
100,drugs,35.55651985510681,5.689054808896713,9.121631402552556,0.4079627648579865,0.6686841608790891
100,weapon,42.521309684845534,13.021858327522034,19.23902840675175,1.7919491375097154,3.5210330103402336
200,drugs,47.79312028166154,5.635984291953011,9.026194522495683,0.4016507820997852,0.6672467754270719
200,weapon,60.442397560094435,12.831650717100342,18.624255383503748,1.7399334673231124,3.376706103711477
500,drugs,74.12153965943328,5.497015132536647,8.805277429838517,0.3751116938393582,0.6620858166807687
500,weapon,97.49624183967535,12.235349224086505,17.698690987304758,1.420936948705917,2.857861886309345
1000,drugs,105.4439249805342,5.3096174548901445,8.445339381834184,0.43199059519890276,0.7208363458130256
1000,weapon,141.8344325791247,11.81654834020887,17.039016644121624,1.1854524388375032,2.4764611329474393
all,drugs,147.5630847354345,4.993397203696808,7.793178171231254,0.4370278834893491,0.6871817085300341
all,weapon,165.06048176372238,11.828776434410733,17.00641567454483,1.1311780336482873,2.2198224007064455
