domain,method,n_total,n_pred,coverage,mae_lo,mae_lo_ci,mae_hi,mae_hi_ci
drugs,simcse_only,2713,2713,1.0,7.462,"[7.10,7.84]",12.039,"[11.51,12.61]"
drugs,simcse_llm,2713,2713,1.0,5.735,"[5.41,6.08]",9.043,"[8.58,9.53]"
weapon,simcse_only,1719,1719,1.0,16.082,"[14.69,17.53]",23.503,"[21.42,25.78]"
weapon,simcse_llm,1719,1719,1.0,13.399,"[12.24,14.61]",18.728,"[17.01,20.57]"
