model,domain,n_pairs,spearman_rho,p_value
baseline (no filter),drugs,79,0.4439309172055798,4.16731571618818e-05
filtered,drugs,93,0.5360179499206893,3.0758879401261e-08
baseline (no filter),weapon,90,0.19492514738684535,0.06561047535139418
filtered,weapon,90,0.29453482924377583,0.004833280439601225
