domain,pool_size,median_lo,median_hi,wmedian_lo,wmedian_hi,wmean_lo,wmean_hi
drugs,50,5.74640619240693,9.226870622926649,5.755252488020641,9.177294507924806,5.743259995664344,9.219245118585341
drugs,100,5.688720973092518,9.120899373387394,5.661260597124954,9.079985256173977,5.676389803350325,9.100380771183637
drugs,200,5.635643199410247,9.02543309988942,5.615923332104681,8.99963140434943,5.6214414359091665,8.964610649872732
drugs,500,5.496682639144858,8.804460007371913,5.456690011057869,8.739034279395502,5.4627868076152515,8.709867250601292
drugs,1000,5.309251750829341,8.444526354589016,5.271654994471065,8.383339476594177,5.242942629381433,8.271090066872866
drugs,all,4.992996682639145,7.792480648728345,4.9506081828234425,7.744194618503502,4.874778727571188,7.566822530032581
weapon,50,13.24083769633508,19.502908667830134,13.06108202443281,19.16114019778941,13.335795086420477,19.55701884974256
weapon,100,13.025596276905178,19.24258289703316,12.769633507853403,19.005235602094242,13.232716283322922,19.35098264183766
weapon,200,12.834496800465386,18.626236183827807,12.749272833042467,18.58173356602676,12.885107974234646,18.744202022154898
weapon,500,12.238801628853984,17.701279813845257,12.115183246073299,17.537521815008727,12.313601379167904,17.955119162312556
weapon,1000,11.820244328097731,17.042466550319954,11.655031995346132,16.753344968004654,11.846726880341702,17.20521213861459
weapon,all,11.832460732984293,17.009307737056428,11.731820826061664,16.85980221058755,11.846265592289361,17.125006973684176
