v1,v2,domain,cit_type,d_lo,d_hi
תפ_14553-12-23,תפ_16540-08-21,drugs,cocite,20.0,36.0
תפ_35364-01-18,תפ_52390-06-19,weapon,cocite,12.0,12.0
תפ_54607-07-19,תפ_59967-01-13,weapon,cocite,10.0,6.0
תפ_21459-01-16,תפ_39998-08-15,weapon,cocite,4.0,8.0
תפ_23872-02-19,תפ_44620-01-22,weapon,cocite,2.0,12.0
תפ_45965-07-16,תפ_50986-12-16,weapon,cocite,9.0,24.0
תפ_16161-04-21,תפ_58505-11-19,weapon,cocite,40.0,56.0
תפ_42991-05-16,תפ_55664-02-14,weapon,cocite,2.0,12.0
תפ_16779-09-22,תפ_31935-12-21,weapon,cocite,4.0,16.0
תפ_50986-12-16,תפ_51088-03-21,weapon,cocite,6.0,6.0
תפ_16779-09-22,תפ_42987-06-16,weapon,cocite,10.0,14.0
תפ_17860-01-19,תפ_21813-09-16,weapon,cocite,4.0,12.0
תפ_35397-07-21,תפ_4102-11-20,weapon,cocite,12.0,24.0
תפ_57001-11-21,תפ_63355-02-23,weapon,cocite,6.0,22.0
תפ_38883-05-22,תפ_52322-10-23,weapon,cocite,10.0,12.0
תפ_46315-12-23,תפ_5649-09-21,drugs,cocite,6.0,26.0
תפ_15387-01-21,תפ_61106-05-20,weapon,cocite,4.0,6.0
תפ_5275-07-21,תפ_61106-05-20,weapon,cocite,92.0,120.0
תפ_28991-04-22,תפ_52964-03-22,weapon,cocite,2.0,3.0
תפ_40063-03-18,תפ_60842-12-14,drugs,cocite,42.0,84.0
תפ_46315-12-23,תפ_49293-04-21,drugs,cocite,15.0,16.0
תפ_18203-04-19,תפ_7027-07-19,drugs,cocite,9.0,14.0
תפ_19908-10-21,תפ_54337-05-21,weapon,cocite,30.0,36.0
תפ_1178-06-21,תפ_46916-07-22,weapon,cocite,8.0,10.0
תפ_49875-05-23,תפ_49932-08-21,drugs,cocite,2.0,6.0
תפ_2144-04-21,תפ_54202-01-23,weapon,cocite,8.0,20.0
תפ_15710-09-21,תפ_31935-12-21,weapon,cocite,9.0,24.0
תפ_1057-05-15,תפ_66982-09-16,drugs,cocite,15.0,37.0
תפ_54732-03-18,תפ_7166-09-15,weapon,cocite,7.0,14.0
תפ_30015-07-16,תפ_7626-04-20,weapon,cocite,0.0,6.0
תפ_45597-11-14,תפ_46930-03-22,weapon,cocite,22.0,20.0
תפ_1118-10-18,תפ_2058-09-17,weapon,cocite,21.0,24.0
תפ_19821-02-17,תפ_7074-11-23,weapon,cocite,8.0,16.0
תפ_12834-03-18,תפ_16097-08-21,drugs,cocite,6.0,6.0
תפ_16097-08-21,תפ_2211-11-19,drugs,cocite,2.0,2.0
תפ_30015-07-16,תפ_59804-01-17,weapon,cocite,12.0,6.0
תפ_23075-10-23,תפ_66893-12-21,weapon,cocite,0.0,0.0
תפ_1580-11-23,תפ_35397-07-21,weapon,cocite,10.0,20.0
תפ_12615-11-21,תפ_13471-01-22,weapon,cocite,7.0,4.0
תפ_33009-05-16,תפ_41754-05-22,weapon,cocite,2.0,12.0
תפ_13373-10-23,תפ_20538-11-17,drugs,cocite,6.0,12.0
תפ_14615-05-21,תפ_34668-04-22,drugs,"1hop,2hop,cocite",2.0,0.0
תפ_1631-01-22,תפ_50986-12-16,weapon,cocite,5.0,12.0
תפ_26565-12-20,תפח_17033-01-22,weapon,cocite,40.0,68.0
תפ_18689-01-17,תפ_51828-02-14,weapon,cocite,4.0,10.0
תפ_18957-11-20,תפ_23537-02-14,weapon,cocite,6.0,6.0
תפ_11843-03-20,תפ_17860-01-19,weapon,cocite,4.0,12.0
תפ_32227-11-20,תפח_24510-09-15,weapon,cocite,0.0,24.0
תפ_17023-12-18,תפ_49401-08-15,drugs,cocite,4.0,0.0
תפ_24215-06-13,תפ_48057-03-21,weapon,cocite,8.0,8.0
תפ_30350-12-20,תפ_57283-05-21,weapon,cocite,24.0,24.0
תפ_18957-11-20,תפח_34398-05-11,weapon,cocite,24.0,54.0
תפ_28100-07-20,תפ_395-05-17,weapon,cocite,22.0,36.0
תפ_13270-02-20,תפ_26549-09-21,weapon,cocite,2.0,14.0
תפ_31218-10-14,תפ_44862-06-20,weapon,cocite,4.0,16.0
תפ_10182-01-24,תפ_35431-03-21,weapon,cocite,4.0,14.0
תפ_14553-12-23,תפ_33666-05-15,drugs,cocite,8.0,12.0
תפ_42697-05-18,תפ_6153-02-21,weapon,cocite,18.0,46.0
תפ_69980-11-20,תפ_7626-04-20,weapon,cocite,6.0,12.0
תפ_23253-12-15,תפ_6153-02-21,weapon,cocite,8.0,16.0
תפ_15744-02-20,תפ_8254-02-20,weapon,cocite,18.0,18.0
תפ_25639-03-21,תפח_24510-09-15,weapon,cocite,0.0,0.0
תפ_1294-04-22,תפ_39808-05-23,weapon,cocite,16.0,18.0
תפ_61820-08-21,תפח_17865-11-21,weapon,cocite,69.0,96.0
תפ_18397-02-16,תפ_53496-03-18,weapon,cocite,3.0,0.0
תפ_1641-04-19,תפ_4248-06-16,weapon,cocite,5.0,12.0
תפ_40892-01-24,תפ_6659-02-21,drugs,cocite,5.0,6.0
תפ_38883-05-22,תפ_51663-11-23,weapon,cocite,3.0,0.0
תפ_38687-04-20,תפ_50986-12-16,weapon,cocite,1.0,2.0
תפ_11739-03-21,תפ_26792-04-16,drugs,cocite,12.0,36.0
תפ_23513-03-14,תפח_17865-11-21,weapon,cocite,72.0,90.0
תפ_17766-12-20,תפ_41967-08-17,weapon,cocite,6.0,12.0
תפ_31419-11-20,תפ_4488-05-22,drugs,cocite,20.0,46.0
תפ_1136-11-21,תפ_45456-12-21,weapon,cocite,37.0,60.0
תפ_18846-06-20,תפ_47757-02-18,drugs,cocite,24.0,32.0
תפ_20733-12-22,תפ_4459-03-24,weapon,cocite,36.0,60.0
תפ_1219-06-23,תפ_26552-06-23,weapon,cocite,8.0,16.0
תפ_1641-04-19,תפ_59804-01-17,weapon,cocite,3.0,0.0
תפ_20451-09-20,תפ_52322-10-23,weapon,cocite,10.0,8.0
תפ_13281-07-13,תפ_40932-03-18,weapon,cocite,18.0,36.0
תפ_3531-12-13,תפ_4102-11-20,weapon,cocite,24.0,42.0
תפ_3910-02-23,תפ_41832-08-24,weapon,cocite,2.0,10.0
תפ_61452-02-16,תפ_63155-05-23,weapon,cocite,10.0,10.0
תפ_35473-12-21,תפ_64581-08-23,weapon,cocite,6.0,15.0
תפ_40118-06-21,תפ_7774-03-23,weapon,cocite,4.0,6.0
תפ_13281-07-13,תפ_19821-02-17,weapon,cocite,12.0,24.0
תפ_19384-05-16,תפ_31216-01-22,weapon,cocite,12.0,12.0
תפ_17707-04-14,תפ_40898-11-19,weapon,cocite,36.0,54.0
תפ_3295-04-18,תפ_44862-06-20,weapon,cocite,6.0,0.0
תפ_47987-12-22,תפ_51886-02-24,drugs,"1hop,2hop,cocite",10.0,5.0
תפ_30015-07-16,תפ_56762-03-21,weapon,cocite,4.0,12.0
