v1,v2,domain,cit_type,d_lo,d_hi
תפ_35571-06-24,תפ_50631-06-23,drugs,"1hop,2hop,cocite",4.0,8.0
תפ_10650-11-21,תפ_39808-05-23,weapon,cocite,6.0,6.0
תפ_27685-11-15,תפ_27929-03-19,weapon,cocite,21.0,24.0
תפ_14115-07-19,תפ_61452-02-16,weapon,cocite,6.0,24.0
תפ_28234-05-21,תפ_42156-05-22,drugs,cocite,12.0,24.0
תפ_33040-09-24,תפ_40650-03-22,drugs,cocite,12.0,24.0
תפ_4133-01-20,תפ_60581-11-15,weapon,cocite,7.0,12.0
תפ_22588-03-22,תפ_4734-12-22,weapon,cocite,27.0,54.0
תפ_18353-12-19,תפ_50203-09-23,drugs,1hop,0.0,3.0
תפ_19835-04-13,תפ_59967-01-13,weapon,cocite,4.0,9.0
תפ_50487-06-22,תפ_8188-06-23,weapon,cocite,8.0,14.0
תפ_26347-11-23,תפ_31216-01-22,weapon,cocite,1.0,6.0
תפ_2599-09-17,תפ_6997-06-18,drugs,cocite,0.0,24.0
תפ_31935-12-21,תפ_8416-07-21,weapon,"1hop,cocite",62.0,102.0
תפ_31746-10-22,תפ_52567-05-23,drugs,cocite,21.0,18.0
תפ_1631-01-22,תפ_57267-09-20,weapon,cocite,8.0,10.0
תפ_23648-12-19,תפ_7626-04-20,weapon,cocite,12.0,24.0
תפ_4460-04-18,תפ_69278-05-18,drugs,cocite,2.0,2.0
תפ_33420-12-20,תפ_45971-11-13,weapon,cocite,7.0,15.0
תפ_34242-02-16,תפ_59260-03-16,weapon,cocite,6.0,18.0
תפ_19384-05-16,תפ_33420-12-20,weapon,cocite,18.0,10.0
תפ_16958-01-14,תפ_3818-01-24,drugs,"1hop,2hop,cocite",4.0,0.0
תפ_28844-03-22,תפ_43271-05-21,weapon,cocite,12.0,12.0
תפ_52790-03-18,תפ_56762-03-21,weapon,cocite,16.0,42.0
תפ_3295-04-18,תפ_57965-03-15,weapon,cocite,6.0,0.0
תפ_17642-11-20,תפ_8633-04-15,drugs,cocite,6.0,12.0
תפ_17474-08-14,תפ_22526-02-21,weapon,cocite,12.0,24.0
תפ_32227-11-20,תפ_42697-05-18,weapon,cocite,0.0,36.0
תפ_17655-10-22,תפ_51209-04-23,weapon,cocite,4.0,10.0
תפ_22297-11-20,תפ_34344-01-15,weapon,cocite,12.0,12.0
תפ_47474-01-14,תפ_5496-11-20,drugs,cocite,61.0,87.0
תפ_25639-03-21,תפח_39094-05-12,weapon,cocite,222.0,288.0
תפ_26552-06-23,תפ_48057-03-21,weapon,cocite,6.0,4.0
תפ_11220-12-18,תפ_65292-07-23,drugs,cocite,15.0,38.0
תפ_31425-08-20,תפ_8444-04-23,drugs,cocite,9.0,42.0
תפ_18320-05-19,תפ_30377-04-18,drugs,cocite,0.0,3.0
תפ_73652-01-18,תפ_8203-05-23,drugs,1hop,6.0,0.0
תפ_28847-09-20,תפ_57910-06-24,drugs,"1hop,cocite",2.0,1.0
תפ_10108-11-21,תפ_27103-01-18,drugs,cocite,0.0,6.0
תפ_6415-10-23,תפח_26879-11-12,weapon,cocite,24.0,24.0
תפ_14115-07-19,תפ_44620-01-22,weapon,cocite,2.0,12.0
תפ_13154-01-18,תפ_52479-01-18,weapon,cocite,0.0,0.0
תפ_44380-08-16,תפ_53539-11-17,weapon,cocite,8.0,18.0
תפ_16779-09-22,תפ_61452-12-22,weapon,cocite,10.0,10.0
תפ_17860-01-19,תפ_9264-02-21,weapon,cocite,2.0,0.0
תפ_23659-04-22,תפ_6970-05-22,drugs,cocite,16.0,26.0
תפ_25806-05-22,תפ_6997-06-18,drugs,cocite,26.0,36.0
תפ_23328-12-22,תפ_6985-07-22,weapon,cocite,24.0,36.0
תפ_12834-03-18,תפ_14578-04-19,drugs,cocite,6.0,6.0
תפ_12154-12-14,תפ_7735-04-19,weapon,cocite,2.0,12.0
תפ_38578-12-20,תפ_52785-01-20,drugs,cocite,6.0,0.0
תפ_1516-10-16,תפ_35364-01-18,weapon,cocite,33.0,48.0
תפ_25624-03-22,תפ_48905-12-20,weapon,cocite,2.0,10.0
תפ_17260-12-23,תפ_51663-11-23,weapon,cocite,3.0,8.0
תפ_26521-10-19,תפ_57425-01-22,drugs,cocite,4.0,10.0
תפ_48978-07-21,תפ_54083-05-20,weapon,cocite,9.0,18.0
תפ_13632-08-17,תפ_18957-11-20,weapon,cocite,3.0,0.0
תפ_3451-02-14,תפ_38687-04-20,weapon,"2hop,cocite",4.0,4.0
תפ_6832-11-23,תפ_9111-02-15,weapon,cocite,10.0,0.0
תפ_13142-02-15,תפ_43844-05-15,weapon,cocite,4.0,8.0
תפ_3772-01-16,תפח_30145-08-13,weapon,cocite,102.0,120.0
תפ_59812-02-16,תפ_9264-02-21,weapon,cocite,4.0,0.0
תפ_36505-12-20,תפח_17033-01-22,weapon,cocite,12.0,12.0
תפ_63953-01-24,תפ_6904-12-14,weapon,cocite,0.0,12.0
תפ_25546-11-23,תפ_57526-07-21,weapon,cocite,12.0,10.0
תפ_48983-06-18,תפ_60842-12-14,drugs,cocite,48.0,100.0
תפ_12158-04-23,תפ_62279-07-22,weapon,cocite,2.0,2.0
תפ_39345-03-20,תפ_54202-01-23,weapon,cocite,10.0,10.0
תפ_11739-03-21,תפ_61392-09-16,drugs,cocite,22.0,46.0
תפ_10896-06-20,תפ_41052-11-19,weapon,cocite,10.0,18.0
תפ_26702-01-23,תפ_51306-12-18,weapon,cocite,24.0,48.0
תפ_50551-03-18,תפ_70166-03-23,weapon,2hop,51.0,62.0
תפ_13481-02-13,תפ_54432-02-17,weapon,cocite,2.0,6.0
תפ_31419-11-20,תפ_37468-09-16,drugs,cocite,8.0,34.0
תפ_33024-01-18,תפ_39034-01-18,drugs,cocite,14.0,12.0
תפ_14373-03-22,תפ_17701-07-21,weapon,cocite,39.0,72.0
תפ_13632-08-17,תפ_19759-07-21,weapon,cocite,1.0,0.0
תפ_20770-11-22,תפ_53539-11-17,weapon,cocite,14.0,12.0
תפ_22715-06-17,תפ_49401-08-15,drugs,"1hop,cocite",2.0,0.0
תפ_49212-08-19,תפח_2690-09-19,weapon,cocite,214.0,292.0
תפ_13301-07-18,תפ_31842-04-21,weapon,cocite,12.0,10.0
תפ_25332-01-18,תפ_6047-11-19,drugs,cocite,8.0,9.0
תפ_11739-03-21,תפ_52205-06-22,drugs,cocite,42.0,78.0
תפ_46896-11-15,תפ_53373-04-13,drugs,cocite,10.0,18.0
תפ_41754-05-22,תפ_59488-11-21,weapon,cocite,4.0,12.0
תפ_10938-11-23,תפ_69777-03-23,weapon,cocite,3.0,2.0
תפ_41597-11-23,תפ_48479-07-22,drugs,"2hop,cocite",5.0,18.0
תפ_28744-03-21,תפ_31842-04-21,weapon,cocite,18.0,24.0
תפ_44862-06-20,תפ_9111-02-15,weapon,cocite,2.0,0.0
תפ_43009-08-20,תפ_56762-03-21,weapon,cocite,2.0,6.0
תפ_41189-09-15,תפ_51504-02-20,drugs,cocite,1.0,0.0
תפ_24044-06-22,תפ_57267-09-20,weapon,cocite,6.0,6.0
עפ_6029-03,תפ_35074-05-17,drugs,"1hop,cocite",4.0,4.0
תפ_35074-05-17,תפ_6110-09-17,drugs,cocite,0.0,12.0
תפ_64303-01-22,תפ_7089-08-23,weapon,cocite,4.0,0.0
תפ_30433-06-22,תפ_69941-03-23,weapon,cocite,48.0,62.0
תפ_23872-02-19,תפ_33726-11-21,weapon,cocite,0.0,0.0
תפ_30197-04-17,תפ_35074-05-17,drugs,cocite,2.0,4.0
תפ_30003-03-22,תפ_41052-11-19,weapon,cocite,18.0,30.0
תפ_40932-03-18,תפ_43338-05-16,weapon,cocite,23.0,40.0
תפ_21355-08-18,תפ_51810-03-15,drugs,cocite,3.0,10.0
תפ_43471-12-22,תפ_6514-03-23,weapon,cocite,6.0,0.0
תפ_12109-06-15,תפ_32659-05-18,weapon,cocite,8.0,18.0
תפ_11104-07-19,תפ_11789-12-16,weapon,none,11.0,18.0
תפ_28157-02-23,תפ_53373-04-13,drugs,cocite,2.0,2.0
תפ_21029-10-19,תפ_40390-08-15,weapon,cocite,36.0,72.0
תפ_31334-11-15,תפ_61158-05-20,weapon,cocite,4.0,2.0
תפ_12376-04-20,תפ_43338-05-16,weapon,cocite,7.0,16.0
תפ_41967-08-17,תפ_51306-12-18,weapon,cocite,72.0,120.0
תפ_17415-10-21,תפ_2599-09-17,drugs,cocite,27.0,60.0
תפ_68096-11-21,תפ_70392-03-23,weapon,cocite,36.0,52.0
תפ_44620-01-22,תפ_57996-05-20,weapon,cocite,4.0,0.0
תפ_19830-10-20,תפ_41189-09-15,drugs,cocite,5.0,0.0
תפ_51471-12-21,תפ_61820-08-21,weapon,cocite,17.0,36.0
תפ_11739-03-21,תפ_69278-05-18,drugs,cocite,30.0,48.0
תפ_17856-06-17,תפ_42697-05-18,weapon,cocite,6.0,36.0
תפ_56566-08-20,תפ_62070-05-20,drugs,cocite,12.0,24.0
תפ_13236-03-18,תפ_41876-08-23,drugs,cocite,18.0,24.0
תפ_14553-12-23,תפ_70374-11-20,drugs,cocite,28.0,34.0
תפ_1197-11-21,תפ_59971-01-17,drugs,cocite,22.0,24.0
תפ_49244-01-22,תפ_65292-07-23,drugs,cocite,3.0,4.0
תפ_33337-07-23,תפ_7811-10-23,weapon,cocite,0.0,6.0
תפ_40999-01-21,תפ_46737-07-22,weapon,cocite,56.0,108.0
תפ_48905-12-20,תפ_53669-03-22,weapon,cocite,4.0,20.0
תפ_18689-01-17,תפ_6431-05-13,weapon,cocite,8.0,10.0
תפ_41952-02-22,תפ_63305-08-22,weapon,cocite,4.0,4.0
תפ_46737-07-22,תפ_6968-01-24,weapon,cocite,14.0,6.0
תפ_63355-02-23,תפ_66893-12-21,weapon,cocite,0.0,8.0
תפ_59067-10-21,תפ_61106-05-20,weapon,cocite,6.0,8.0
תפ_41271-08-14,תפ_52789-09-22,weapon,cocite,48.0,48.0
תפ_35299-09-23,תפ_8633-04-15,drugs,cocite,22.0,32.0
תפ_13270-02-20,תפ_6968-01-24,weapon,cocite,18.0,18.0
תפ_41832-08-24,תפ_64581-08-23,weapon,cocite,2.0,8.0
תפ_14684-07-24,תפ_69980-11-20,weapon,cocite,0.0,6.0
תפ_28480-03-20,תפ_6316-09-20,drugs,cocite,2.0,2.0
תפ_35364-01-18,תפ_40450-09-15,weapon,cocite,36.0,48.0
תפ_1178-06-21,תפ_40082-02-22,weapon,cocite,4.0,10.0
תפ_61158-05-20,תפ_63642-12-18,weapon,cocite,4.0,4.0
תפ_11370-07-16,תפ_8633-04-15,drugs,cocite,20.0,30.0
תפ_45432-11-15,תפ_45965-07-16,weapon,cocite,18.0,42.0
תפ_3295-04-18,תפ_44381-05-20,weapon,cocite,5.0,3.0
תפ_32775-09-23,תפ_63100-02-24,weapon,cocite,36.0,56.0
תפ_5391-02-20,תפ_57341-02-23,drugs,cocite,6.0,18.0
תפ_2211-11-19,תפ_52785-01-20,drugs,cocite,0.0,0.0
תפ_1641-04-19,תפ_2144-04-21,weapon,cocite,3.0,6.0
תפ_46737-07-22,תפ_51971-12-21,weapon,cocite,8.0,12.0
תפ_35397-07-21,תפ_52322-10-23,weapon,cocite,16.0,18.0
תפ_23253-12-15,תפ_52790-03-18,weapon,cocite,8.0,18.0
תפ_35227-05-17,תפ_69980-11-20,weapon,cocite,6.0,0.0
תפ_11789-12-16,תפ_44725-12-14,weapon,cocite,13.0,24.0
תפ_13481-02-13,תפ_17916-05-19,weapon,cocite,2.0,0.0
תפ_15972-06-20,תפ_54205-05-15,drugs,2hop,0.0,0.0
תפ_6852-03-21,תפ_69777-03-23,weapon,cocite,3.0,8.0
תפ_44477-08-20,תפ_51797-01-21,drugs,cocite,1.0,5.0
תפ_10650-11-21,תפ_26552-06-23,weapon,cocite,8.0,16.0
תפ_12143-06-20,תפ_56624-12-19,drugs,cocite,18.0,24.0
תפ_19908-10-21,תפ_2724-08-19,weapon,cocite,15.0,18.0
עפ_6029-03,תפ_5775-02-18,drugs,"1hop,cocite",20.0,40.0
תפ_16161-04-21,תפ_48176-01-22,weapon,cocite,12.0,48.0
תפ_35074-05-17,תפ_46039-04-17,drugs,cocite,0.0,6.0
תפ_44579-08-15,תפ_8008-07-19,weapon,2hop,5.0,0.0
תפ_46930-03-22,תפ_9111-02-15,weapon,cocite,32.0,24.0
תפ_19759-07-21,תפ_6832-11-23,weapon,cocite,4.0,6.0
תפ_34053-04-18,תפ_60637-11-14,weapon,none,0.0,6.0
תפ_54272-09-14,תפח_52360-06-20,weapon,cocite,36.0,24.0
תפ_25639-03-21,תפ_6904-12-14,weapon,cocite,6.0,0.0
תפ_21813-09-16,תפ_3295-04-18,weapon,cocite,10.0,12.0
תפ_34669-01-23,תפ_7626-04-20,weapon,none,18.0,2.0
תפ_31811-03-21,תפ_48621-05-22,weapon,cocite,42.0,56.0
תפ_3686-01-16,תפח_4986-04-11,weapon,cocite,222.0,252.0
תפ_29457-07-16,תפ_8633-04-15,drugs,cocite,12.0,6.0
תפ_31935-12-21,תפ_43597-08-21,weapon,cocite,8.0,18.0
תפ_25537-07-24,תפ_57425-01-22,drugs,cocite,13.0,28.0
תפ_54607-07-19,תפח_2690-09-19,weapon,cocite,196.0,270.0
תפ_40634-03-20,תפ_41762-12-20,weapon,cocite,1.0,0.0
תפ_13177-04-21,תפ_40240-09-12,weapon,"1hop,cocite",24.0,34.0
תפ_32659-05-18,תפ_44620-01-22,weapon,cocite,4.0,0.0
תפ_11843-03-20,תפ_15387-01-21,weapon,cocite,4.0,6.0
תפ_33420-12-20,תפ_62062-06-20,weapon,cocite,2.0,2.0
תפ_26069-10-19,תפ_40536-10-20,weapon,cocite,2.0,2.0
תפ_39034-01-18,תפ_49875-05-23,drugs,cocite,2.0,12.0
תפ_42613-02-23,תפ_69945-03-23,weapon,cocite,19.0,28.0
תפ_29772-11-13,תפ_3295-04-18,weapon,cocite,12.0,18.0
תפ_1057-05-15,תפ_33439-01-21,drugs,cocite,2.0,2.0
תפ_21459-01-16,תפ_45228-07-16,weapon,cocite,10.0,10.0
תפ_37696-03-23,תפ_9860-10-15,drugs,1hop,2.0,6.0
תפ_4475-11-18,תפ_69158-11-16,weapon,cocite,4.0,4.0
תפ_21594-06-16,תפ_62597-10-17,weapon,cocite,2.0,12.0
תפ_35007-04-13,תפ_7166-09-15,weapon,none,0.0,12.0
תפ_51523-10-17,תפ_64941-05-17,weapon,cocite,3.0,6.0
תפ_15744-02-20,תפ_54432-02-17,weapon,cocite,20.0,24.0
תפ_25639-03-21,תפ_35397-07-21,weapon,cocite,6.0,6.0
תפ_633-05-17,תפ_7626-04-20,weapon,none,12.0,24.0
תפ_59260-03-16,תפח_2690-09-19,weapon,cocite,204.0,270.0
תפ_69980-11-20,תפח_53698-03-17,weapon,cocite,78.0,96.0
תפ_32907-12-20,תפ_39808-05-23,weapon,cocite,22.0,24.0
תפ_1580-11-23,תפ_61452-12-22,weapon,cocite,2.0,6.0
תפ_12540-12-18,תפ_13632-08-17,weapon,cocite,3.0,12.0
תפ_16779-09-22,תפ_17707-04-14,weapon,cocite,22.0,26.0
תפ_30003-03-22,תפ_8188-06-23,weapon,cocite,2.0,14.0
תפ_41276-06-17,תפ_50487-06-22,weapon,cocite,26.0,30.0
תפ_16541-01-21,תפ_60581-11-15,weapon,cocite,13.0,24.0
תפ_3256-16,תפ_66306-03-19,drugs,cocite,2.0,12.0
תפ_46108-06-20,תפ_46550-12-16,weapon,cocite,2.0,4.0
תפ_39183-11-13,תפ_42697-05-18,weapon,cocite,18.0,48.0
תפ_45874-03-19,תפ_47757-02-18,drugs,"2hop,cocite",30.0,42.0
תפ_3013-04-18,תפ_6153-02-21,weapon,cocite,27.0,46.0
תפ_18094-06-24,תפ_29529-07-20,weapon,cocite,2.0,4.0
תפ_12109-06-15,תפ_50556-08-17,weapon,cocite,20.0,18.0
תפ_10300-06-20,תפ_5037-10-16,weapon,cocite,4.0,20.0
תפ_42197-05-22,תפח_39587-07-21,weapon,cocite,2.0,6.0
תפ_18957-11-20,תפ_44169-08-22,weapon,cocite,10.0,10.0
תפ_46108-06-20,תפח_4633-09-16,weapon,cocite,98.0,132.0
תפ_26839-11-16,תפ_33666-05-15,drugs,cocite,26.0,24.0
תפ_14044-03-20,תפ_63642-12-18,weapon,cocite,3.0,0.0
תפ_16541-01-21,תפ_4475-11-18,weapon,cocite,10.0,12.0
תפ_31498-01-16,תפ_51828-02-14,weapon,cocite,0.0,8.0
תפ_28234-05-21,תפ_33040-09-24,drugs,cocite,12.0,12.0
תפ_34353-03-17,תפ_4460-04-18,drugs,cocite,10.0,10.0
תפ_38687-04-20,תפ_52091-02-20,weapon,cocite,2.0,4.0
תפ_46939-09-23,תפ_66893-12-21,weapon,cocite,15.0,6.0
תפ_4102-11-20,תפ_51088-03-21,weapon,cocite,15.0,18.0
תפ_1631-01-22,תפ_23537-02-14,weapon,cocite,4.0,6.0
תפ_23659-04-22,תפ_57910-06-24,drugs,cocite,16.0,26.0
תפ_5275-07-21,תפ_61118-07-23,weapon,cocite,88.0,116.0
תפ_10108-11-21,תפ_21355-08-18,drugs,cocite,3.0,0.0
תפ_4719-02-23,תפ_51149-02-22,drugs,"1hop,cocite",2.0,6.0
תפ_17137-11-21,תפ_61452-12-22,weapon,cocite,4.0,4.0
תפ_4338-04-13,תפ_52077-12-20,weapon,cocite,16.0,22.0
תפ_30197-04-17,תפ_57912-07-14,drugs,cocite,2.0,8.0
תפ_21605-07-13,תפ_7926-08-19,drugs,2hop,2.0,0.0
תפ_69278-05-18,תפ_824-06-17,drugs,cocite,10.0,28.0
תפ_31425-08-20,תפ_5496-11-20,drugs,cocite,19.0,57.0
תפ_23532-07-18,תפ_63305-08-22,weapon,cocite,10.0,14.0
תפ_14885-06-24,תפ_67356-12-21,weapon,cocite,22.0,24.0
תפ_2679-03-18,תפ_45480-02-19,drugs,"2hop,cocite",17.0,31.0
תפ_49244-01-22,תפ_65884-10-13,drugs,cocite,12.0,42.0
תפ_30643-03-18,תפ_4258-07-15,drugs,"1hop,cocite",16.0,26.0
תפ_23190-04-21,תפ_33200-05-20,drugs,cocite,2.0,2.0
תפ_35186-03-18,תפ_46379-02-21,weapon,cocite,6.0,2.0
תפ_38687-04-20,תפ_50487-06-22,weapon,cocite,20.0,20.0
תפ_34027-04-18,תפ_39500-07-20,weapon,cocite,8.0,8.0
תפ_21384-01-23,תפ_45433-09-17,drugs,cocite,6.0,12.0
תפ_23774-03-17,תפ_45433-09-17,drugs,cocite,14.0,6.0
תפ_1956-04-21,תפ_38368-09-21,weapon,cocite,22.0,20.0
תפ_40634-03-20,תפ_69110-11-20,weapon,cocite,4.0,6.0
תפ_14044-03-20,תפ_27929-03-19,weapon,cocite,6.0,0.0
תפ_20477-02-20,תפ_31811-03-21,weapon,cocite,8.0,10.0
תפ_14885-06-24,תפ_522-05-17,weapon,cocite,40.0,78.0
תפ_31935-12-21,תפ_38193-11-23,weapon,cocite,38.0,66.0
תפ_1783-04-23,תפ_23533-01-24,weapon,none,4.0,2.0
תפ_23408-05-15,תפ_69278-05-18,drugs,cocite,6.0,8.0
תפ_23992-11-21,תפ_41762-12-20,weapon,cocite,2.0,6.0
תפ_30433-06-22,תפ_45432-11-15,weapon,cocite,10.0,30.0
תפ_22417-12-21,תפ_28715-03-22,weapon,cocite,3.0,6.0
תפ_37175-07-20,תפ_50986-12-16,weapon,cocite,33.0,66.0
תפ_17941-11-18,תפ_28139-10-13,weapon,1hop,6.0,12.0
תפ_46173-08-15,תפ_5496-11-20,drugs,cocite,1.0,3.0
תפ_24953-08-24,תפ_66982-09-16,drugs,cocite,7.0,15.0
תפ_12411-02-21,תפ_51471-12-21,weapon,cocite,10.0,32.0
תפ_34197-11-21,תפ_35865-07-17,drugs,cocite,20.0,28.0
תפ_10182-01-24,תפ_15209-10-23,weapon,cocite,5.0,4.0
תפ_5013-12,תפ_9111-02-15,weapon,cocite,26.0,36.0
תפ_32882-09-21,תפח_24510-09-15,weapon,cocite,30.0,36.0
תפ_18689-01-17,תפ_50916-06-16,weapon,cocite,20.0,30.0
תפ_32560-12-16,תפ_50068-09-23,weapon,2hop,0.0,0.0
תפ_3686-01-16,תפ_6415-10-23,weapon,cocite,30.0,24.0
תפ_13154-01-18,תפ_50809-07-17,weapon,cocite,0.0,0.0
תפ_32659-05-18,תפ_63155-05-23,weapon,cocite,18.0,2.0
תפ_21991-04-20,תפ_69278-05-18,drugs,cocite,7.0,2.0
תפ_18689-01-17,תפ_59067-10-21,weapon,cocite,14.0,26.0
תפ_39808-05-23,תפ_50556-08-17,weapon,cocite,8.0,6.0
תפ_50998-12-18,תפ_7906-06-15,drugs,cocite,3.0,0.0
תפ_31034-06-17,תפ_43338-05-16,weapon,cocite,7.0,16.0
תפ_40999-01-21,תפ_59804-01-17,weapon,cocite,60.0,108.0
תפ_18039-10-21,תפ_20477-02-20,weapon,cocite,30.0,30.0
תפ_16779-09-22,תפ_50487-06-22,weapon,cocite,22.0,26.0
תפ_1294-04-22,תפ_1516-10-16,weapon,cocite,11.0,12.0
תפ_16540-08-21,תפ_44129-09-19,drugs,cocite,24.0,24.0
תפ_24822-01-21,תפ_50556-08-17,weapon,cocite,13.0,12.0
תפ_22971-02-22,תפ_43245-08-20,weapon,cocite,28.0,0.0
תפ_1219-06-23,תפ_42581-06-21,weapon,cocite,58.0,80.0
תפ_1363-04-22,תפ_1410-03-24,weapon,cocite,2.0,8.0
תפ_33866-12-15,תפ_62794-11-21,drugs,cocite,24.0,48.0
תפ_31425-08-20,תפ_31736-06-21,drugs,cocite,15.0,52.0
תפ_11104-07-19,תפ_53715-12-15,weapon,cocite,5.0,6.0
תפ_17776-11-21,תפ_35431-03-21,weapon,cocite,10.0,14.0
תפ_11017-08-14,תפ_59888-08-22,drugs,cocite,14.0,30.0
תפ_27929-03-19,תפ_50716-11-19,weapon,cocite,4.0,0.0
תפ_17856-06-17,תפח_30875-04-17,weapon,cocite,48.0,60.0
תפ_50330-07-18,תפ_70062-03-23,weapon,cocite,25.0,40.0
תפ_14885-06-24,תפח_15217-03-19,weapon,cocite,244.0,318.0
תפ_15376-06-13,תפ_21813-09-16,weapon,cocite,4.0,6.0
תפ_25639-03-21,תפ_41276-06-17,weapon,cocite,8.0,6.0
תפ_30433-06-22,תפ_31842-04-21,weapon,cocite,22.0,30.0
תפ_33439-01-21,תפ_3526-04-21,drugs,cocite,16.0,28.0
תפ_10171-06-22,תפ_9211-05-21,weapon,"1hop,cocite",0.0,6.0
תפ_38687-04-20,תפ_52479-01-18,weapon,cocite,4.0,4.0
תפ_20451-09-20,תפ_3986-06-22,weapon,cocite,6.0,4.0
תפ_40932-03-18,תפ_54337-05-21,weapon,cocite,24.0,30.0
תפ_16779-09-22,תפ_30966-07-22,weapon,cocite,7.0,10.0
תפ_22417-12-21,תפ_40450-09-15,weapon,cocite,7.0,12.0
תפ_6431-05-13,תפ_9111-02-15,weapon,cocite,10.0,28.0
תפ_12213-10-16,תפ_16779-09-22,weapon,cocite,1.0,2.0
תפ_46939-09-23,תפ_48978-07-21,weapon,cocite,9.0,12.0
תפ_40922-11-15,תפ_5013-12,weapon,cocite,22.0,36.0
תפ_54132-03-21,תפ_7811-10-23,weapon,cocite,50.0,60.0
תפ_17057-08-20,תפ_52390-06-19,weapon,cocite,12.0,24.0
תפ_63305-08-22,תפח_41585-03-16,weapon,cocite,14.0,38.0
תפ_1136-11-21,תפ_54083-05-20,weapon,cocite,20.0,30.0
תפ_16996-08-12,תפ_28246-06-21,weapon,cocite,78.0,105.0
תפ_17860-01-19,תפ_51306-12-18,weapon,cocite,72.0,108.0
תפ_50998-03-23,תפח_17033-01-22,weapon,cocite,18.0,42.0
תפ_20770-11-22,תפ_53715-12-15,weapon,cocite,6.0,6.0
תפ_18957-11-20,תפ_6904-12-14,weapon,cocite,0.0,6.0
תפ_11734-06-22,תפ_20733-12-22,weapon,cocite,29.0,40.0
תפ_11843-03-20,תפ_43597-08-21,weapon,cocite,10.0,12.0
תפ_36698-12-18,תפ_46108-06-20,weapon,cocite,2.0,0.0
תפ_15209-10-23,תפ_39808-05-23,weapon,cocite,17.0,14.0
תפ_189-01-16,תפ_8008-07-19,weapon,cocite,0.0,6.0
תפ_18957-11-20,תפ_35473-12-21,weapon,cocite,12.0,15.0
תפ_1410-03-24,תפ_30003-03-22,weapon,cocite,20.0,38.0
תפ_45433-09-17,תפ_4730-11-21,drugs,cocite,3.0,24.0
תפ_11843-03-20,תפ_4248-06-16,weapon,cocite,2.0,0.0
תפ_23282-05-17,תפ_32817-12-14,drugs,cocite,3.0,8.0
תפ_17707-04-14,תפ_52789-09-22,weapon,cocite,24.0,36.0
תפ_59488-11-21,תפ_7774-03-23,weapon,cocite,6.0,14.0
תפ_26478-04-22,תפ_38883-05-22,weapon,cocite,3.0,0.0
תפ_12406-11-15,תפ_50148-01-14,weapon,cocite,54.0,36.0
תפ_10896-06-20,תפ_17916-05-19,weapon,cocite,12.0,24.0
תפ_46267-08-23,תפ_52188-03-22,weapon,none,18.0,24.0
תפ_21813-09-16,תפ_74740-06-20,weapon,none,42.0,51.0
תפח_17033-01-22,תפח_34398-05-11,weapon,cocite,24.0,24.0
תפ_40650-03-22,תפ_44540-10-20,drugs,cocite,18.0,42.0
תפ_1219-06-23,תפ_54202-01-23,weapon,cocite,6.0,22.0
תפ_26032-04-14,תפ_59971-01-17,drugs,cocite,6.0,2.0
תפ_17860-01-19,תפ_9179-04-16,weapon,cocite,3.0,12.0
תפ_48905-12-20,תפח_41585-03-16,weapon,cocite,16.0,14.0
תפ_23537-02-14,תפ_52848-09-22,weapon,cocite,26.0,38.0
תפ_27961-04-18,תפ_8900-11-22,drugs,cocite,0.0,6.0
תפ_46786-01-23,תפ_65292-07-23,drugs,cocite,16.0,28.0
תפ_25639-03-21,תפ_52789-09-22,weapon,cocite,42.0,60.0
תפ_40011-04-14,תפח_4633-09-16,weapon,cocite,96.0,118.0
תפ_13153-08-15,תפ_14044-03-20,weapon,cocite,6.0,0.0
תפ_21459-01-16,תפ_64689-11-15,weapon,cocite,11.0,10.0
תפ_19821-02-17,תפ_34027-04-18,weapon,cocite,0.0,0.0
תפ_31034-06-17,תפ_51523-10-17,weapon,cocite,5.0,12.0
תפ_29529-07-20,תפ_34027-04-18,weapon,cocite,6.0,8.0
תפ_3910-02-23,תפ_56328-06-22,weapon,cocite,21.0,18.0
תפ_37047-07-20,תפ_9179-04-16,weapon,cocite,21.0,42.0
תפ_46267-08-23,תפ_69933-03-23,weapon,1hop,6.0,8.0
תפ_46930-03-22,תפ_6574-09-21,weapon,cocite,22.0,20.0
תפ_182-11-12,תפ_18957-11-20,weapon,cocite,30.0,54.0
תפ_13270-02-20,תפ_43597-08-21,weapon,cocite,6.0,12.0
תפ_27277-01-15,תפ_54607-07-19,weapon,cocite,14.0,6.0
תפ_32227-11-20,תפח_56363-07-20,weapon,cocite,18.0,4.0
תפ_21296-11-14,תפ_8254-02-20,weapon,cocite,12.0,24.0
תפ_26478-04-22,תפ_61158-05-20,weapon,cocite,1.0,4.0
תפ_44380-08-16,תפ_52479-01-18,weapon,cocite,2.0,0.0
תפ_19384-05-16,תפ_21459-01-16,weapon,cocite,20.0,20.0
תפ_51296-08-21,תפ_57020-05-22,weapon,cocite,16.0,38.0
תפ_52848-09-22,תפ_54202-01-23,weapon,cocite,12.0,12.0
תפ_67356-12-21,תפח_34989-04-17,weapon,cocite,18.0,6.0
תפ_27103-01-18,תפ_67473-10-21,drugs,cocite,1.0,6.0
תפ_72132-02-19,תפ_9582-10-20,drugs,cocite,4.0,16.0
תפ_16760-09-22,תפ_64581-08-23,weapon,cocite,14.0,24.0
