feature,agreement,cohen_kappa,weighted_kappa_linear,weighted_kappa_quadratic,quality
מעבדה,95.6%,0.907,0.827,0.696,מצוינת
עבירה (סעיפים),91.2%,0.871,,,מצוינת
תפקיד,93.3%,0.803,,,מצוינת
עבירות נלוות,86.8%,0.725,0.725,0.725,טובה
מכירה לסוכן,88.2%,0.698,0.599,0.465,טובה
סוג הסם (סט סמים),57.4%,0.625,,,טובה
ממוצע,,0.772,,,
