,Manual,Hybrid-Manual,Hybrid-Full,GPT-Schema,GPT-Free,GPT-Law,Raw-Facts
Manual,1.0,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
Hybrid-Manual,0.0023,1.0,0.7002,0.0588,0.0103,0.0023,0.2039
Hybrid-Full,0.0023,0.7002,1.0,0.2655,0.1615,0.013,0.3835
GPT-Schema,0.0023,0.0588,0.2655,1.0,0.0023,0.0023,0.0158
GPT-Free,0.0023,0.0103,0.1615,0.0023,1.0,0.0278,0.2039
GPT-Law,0.0023,0.0023,0.013,0.0023,0.0278,1.0,0.0158
Raw-Facts,0.0023,0.2039,0.3835,0.0158,0.2039,0.0158,1.0
