,Manual,Hybrid-Manual,Hybrid-Full,GPT-Schema,GPT-Free,GPT-Law,Raw-Facts
Manual,1.0,0.0051,0.0051,0.0068,0.0051,0.0051,0.0068
Hybrid-Manual,0.0051,1.0,0.5742,0.1253,0.4204,0.8726,0.4175
Hybrid-Full,0.0051,0.5742,1.0,0.4204,0.3059,0.6061,0.8984
GPT-Schema,0.0068,0.1253,0.4204,1.0,0.0146,0.2133,0.1253
GPT-Free,0.0051,0.4204,0.3059,0.0146,1.0,0.8451,0.2349
GPT-Law,0.0051,0.8726,0.6061,0.2133,0.8451,1.0,0.3329
Raw-Facts,0.0068,0.4175,0.8984,0.1253,0.2349,0.3329,1.0
