domain,method,n,mae_lo,mae_lo_ci_low,mae_lo_ci_hi,mae_hi,mae_hi_ci_low,mae_hi_ci_hi
drugs,global_median,2305,8.43123644251627,7.985661605206073,8.890260303687636,14.07939262472885,13.426865509761388,14.774468546637744
drugs,random_llm,2224,6.337679856115108,5.979749325539569,6.737488758992805,10.111735611510792,9.556845773381296,10.700337230215828
drugs,offense_matched_random,2121,8.528288543140029,8.093110561056106,8.956417963224894,14.364922206506366,13.666660773220178,15.087458745874587
drugs,tfidf_ridge,2305,7.560675601481122,7.202894754364741,7.94258659722522,12.476406393885732,11.950183642710185,13.018486517572198
drugs,bm25,2305,6.8195227765726685,6.448335140997831,7.239484815618221,11.041431670281996,10.497678958785249,11.614105206073752
drugs,citation_llm,1828,6.113512035010941,5.684005743982494,6.576620623632385,9.455689277899344,8.86476340262582,10.105614059080963
drugs,sup_only,2305,6.329501084598698,5.978270065075923,6.712190889370932,10.224511930585683,9.712760303687634,10.777847071583514
drugs,sup_llm,2305,6.112364425162689,5.774701735357917,6.484815618221258,9.906941431670282,9.3999295010846,10.432147505422993
drugs,llm_best,2305,5.178308026030368,4.855287418655097,5.527434924078091,8.086767895878525,7.642489154013015,8.585542299349239
weapon,global_median,1593,16.6691776522285,15.318832391713748,18.175831763967356,25.462021343377277,23.34990583804143,28.00075329566855
weapon,random_llm,1579,13.444901836605446,12.166268207726409,14.789795756808108,19.697910069664346,17.724081697276755,21.889075364154525
weapon,offense_matched_random,1272,17.65055031446541,16.01690251572327,19.296845518867926,26.51297169811321,23.913865959119494,29.3439858490566
weapon,tfidf_ridge,1593,15.582650070401627,14.50147205965877,16.663263379528324,23.128958078428035,21.391162910673785,25.097017219451875
weapon,bm25,1593,14.54268675455116,13.488653483992467,15.611770244821091,21.083804143126176,19.46176239799121,22.90401757689893
weapon,citation_llm,1441,12.884455239417072,11.683162734212353,14.100633240804996,19.592990978487162,17.417626648161,21.885652324774462
weapon,sup_only,1593,13.540803515379787,12.355280916509729,14.857752667922158,20.285938480853734,18.449387947269305,22.517914312617698
weapon,sup_llm,1593,12.501883239171375,11.418675455116134,13.703327055869428,18.48462021343377,16.685726616446956,20.582729127432515
weapon,llm_best,1593,11.150345260514753,10.212476459510357,12.192467043314501,16.091650973006907,14.458435342121781,17.968267419962334
