domain,pool_size,median_lo,median_hi,wmedian_lo,wmedian_hi,wmean_lo,wmean_hi
drugs,50,6.179609544468547,10.012581344902387,6.172668112798265,9.993926247288503,6.188633357315438,9.98812367129635
drugs,100,6.112364425162689,9.906941431670282,6.100650759219089,9.837744034707159,6.12170682992138,9.874506418365147
drugs,200,6.054663774403471,9.812147505422994,5.999566160520607,9.733622559652929,6.04339317041396,9.745177932618628
drugs,500,5.874837310195228,9.48524945770065,5.81822125813449,9.416052060737528,5.861809608749276,9.401694838331153
drugs,1000,5.652060737527115,8.921041214750542,5.611713665943601,8.866811279826464,5.588911485172104,8.848648062355975
drugs,all,5.266377440347072,8.261388286334057,5.199132321041215,8.18351409978308,5.201793934424929,8.137793970340544
weapon,50,12.814500941619587,18.853421217827997,12.750156936597614,18.62335216572505,12.816181056273034,18.72002219759855
weapon,100,12.501883239171375,18.48462021343377,12.303829252981796,17.969868173258003,12.617405164630608,18.591991083560227
weapon,200,11.940677966101696,17.637162586315128,11.723791588198369,17.319522912743253,12.084454785096424,17.867548992840703
weapon,500,11.40677966101695,16.609227871939737,11.362209667294414,16.433145009416197,11.527730943865512,16.889526602467367
weapon,1000,10.861895794099183,16.029504080351536,10.799121155053358,15.954802259887005,11.035366280186746,16.323735592785823
weapon,all,10.844318895166353,16.015693659761457,10.922787193973635,16.037037037037038,11.067591763231405,16.374962720935244
