sweep,filter,domain,min_k,n_total,n_pred,coverage,mae_lo,mae_hi
min_k,global_median,drugs,1,2305,2305,1.0,8.43123644251627,14.07939262472885
min_k,global_median,weapon,1,1593,1593,1.0,16.6691776522285,25.462021343377277
min_k,global_median,drugs,3,2305,2305,1.0,8.43123644251627,14.07939262472885
min_k,global_median,weapon,3,1593,1593,1.0,16.6691776522285,25.462021343377277
min_k,global_median,drugs,5,2305,2305,1.0,8.43123644251627,14.07939262472885
min_k,global_median,weapon,5,1593,1593,1.0,16.6691776522285,25.462021343377277
min_k,global_median,drugs,10,2305,2305,1.0,8.43123644251627,14.07939262472885
min_k,global_median,weapon,10,1593,1593,1.0,16.6691776522285,25.462021343377277
min_k,random,drugs,1,2305,2305,1.0,8.936876355748373,15.131453362255966
min_k,random,weapon,1,1593,1593,1.0,17.473320778405522,26.626804770872567
min_k,random,drugs,3,2305,2305,1.0,8.936876355748373,15.131453362255966
min_k,random,weapon,3,1593,1593,1.0,17.473320778405522,26.626804770872567
min_k,random,drugs,5,2305,2305,1.0,8.936876355748373,15.131453362255966
min_k,random,weapon,5,1593,1593,1.0,17.473320778405522,26.626804770872567
min_k,random,drugs,10,2305,2305,1.0,8.936876355748373,15.131453362255966
min_k,random,weapon,10,1593,1593,1.0,17.473320778405522,26.626804770872567
min_k,random_llm,drugs,1,2305,2223,0.9644251626898048,6.581421502474134,10.49685110211426
min_k,random_llm,weapon,1,1593,1582,0.9930947897049592,13.629898862199747,19.95164348925411
min_k,random_llm,drugs,3,2305,1690,0.7331887201735358,5.814201183431953,9.324852071005918
min_k,random_llm,weapon,3,1593,1426,0.8951663527934715,13.051192145862553,19.311360448807854
min_k,random_llm,drugs,5,2305,951,0.4125813449023861,5.157202944269191,8.488433228180861
min_k,random_llm,weapon,5,1593,1059,0.664783427495292,11.6657223796034,16.49102927289896
min_k,random_llm,drugs,10,2305,130,0.05639913232104121,5.596153846153846,10.153846153846153
min_k,random_llm,weapon,10,1593,330,0.2071563088512241,10.18030303030303,14.446969696969697
min_k,citation_all,drugs,1,2305,1828,0.793058568329718,7.400711159737418,11.469091903719912
min_k,citation_all,weapon,1,1593,1441,0.9045825486503453,16.412213740458014,24.834836918806385
min_k,citation_all,drugs,3,2305,1547,0.6711496746203904,7.225274725274725,11.273755656108598
min_k,citation_all,weapon,3,1593,1323,0.8305084745762712,15.926303854875284,23.7713529856387
min_k,citation_all,drugs,5,2305,1389,0.6026030368763557,7.418286537077034,11.5377969762419
min_k,citation_all,weapon,5,1593,1228,0.770872567482737,15.639250814332248,23.036644951140065
min_k,citation_all,drugs,10,2305,1090,0.47288503253796094,8.020183486238532,12.456880733944955
min_k,citation_all,weapon,10,1593,1052,0.6603892027620841,16.015684410646386,23.421102661596958
min_k,citation_all_llm,drugs,1,2305,1828,0.793058568329718,6.074398249452954,9.398796498905908
min_k,citation_all_llm,weapon,1,1593,1441,0.9045825486503453,12.905968077723802,19.488896599583622
min_k,citation_all_llm,drugs,3,2305,1547,0.6711496746203904,5.658047834518423,8.827407886231416
min_k,citation_all_llm,weapon,3,1593,1323,0.8305084745762712,12.107331821617535,17.948601662887377
min_k,citation_all_llm,drugs,5,2305,1389,0.6026030368763557,5.672786177105832,8.81317494600432
min_k,citation_all_llm,weapon,5,1593,1228,0.770872567482737,11.524837133550488,16.76343648208469
min_k,citation_all_llm,drugs,10,2305,1090,0.47288503253796094,5.795871559633028,8.984862385321101
min_k,citation_all_llm,weapon,10,1593,1052,0.6603892027620841,11.212927756653992,16.098384030418252
min_k,supervised,drugs,1,2305,2305,1.0,6.329501084598698,10.224511930585683
min_k,supervised,weapon,1,1593,1593,1.0,13.540803515379787,20.285938480853734
min_k,supervised,drugs,3,2305,2305,1.0,6.329501084598698,10.224511930585683
min_k,supervised,weapon,3,1593,1593,1.0,13.540803515379787,20.285938480853734
min_k,supervised,drugs,5,2305,2305,1.0,6.329501084598698,10.224511930585683
min_k,supervised,weapon,5,1593,1593,1.0,13.540803515379787,20.285938480853734
min_k,supervised,drugs,10,2305,2305,1.0,6.329501084598698,10.224511930585683
min_k,supervised,weapon,10,1593,1593,1.0,13.540803515379787,20.285938480853734
min_k,supervised_llm,drugs,1,2305,2305,1.0,6.112364425162689,9.906941431670282
min_k,supervised_llm,weapon,1,1593,1593,1.0,12.501883239171375,18.48462021343377
min_k,supervised_llm,drugs,3,2305,2305,1.0,6.112364425162689,9.906941431670282
min_k,supervised_llm,weapon,3,1593,1593,1.0,12.501883239171375,18.48462021343377
min_k,supervised_llm,drugs,5,2305,2305,1.0,6.112364425162689,9.906941431670282
min_k,supervised_llm,weapon,5,1593,1593,1.0,12.501883239171375,18.48462021343377
min_k,supervised_llm,drugs,10,2305,2305,1.0,6.112364425162689,9.906941431670282
min_k,supervised_llm,weapon,10,1593,1593,1.0,12.501883239171375,18.48462021343377
min_k,llm_top,drugs,1,2305,2305,1.0,5.178308026030368,8.086767895878525
min_k,llm_top,weapon,1,1593,1593,1.0,11.150345260514753,16.091650973006907
min_k,llm_top,drugs,3,2305,2305,1.0,5.178308026030368,8.086767895878525
min_k,llm_top,weapon,3,1593,1593,1.0,11.150345260514753,16.091650973006907
min_k,llm_top,drugs,5,2305,2305,1.0,5.178308026030368,8.086767895878525
min_k,llm_top,weapon,5,1593,1593,1.0,11.150345260514753,16.091650973006907
min_k,llm_top,drugs,10,2305,2305,1.0,5.178308026030368,8.086767895878525
min_k,llm_top,weapon,10,1593,1593,1.0,11.150345260514753,16.091650973006907
