model,domain,n_pairs,n_with_llm_score,coverage_pct,llm_mean,llm_median,llm_p25,llm_p75,pct_high_score (>= 50),pct_high_score (>= 80)
baseline,drugs,46100,46100,100.0,43.87824295010846,35.0,25.0,65.0,38.98698481561822,8.164859002169198
baseline,weapon,31860,31860,100.0,39.431104833647204,35.0,25.0,60.0,31.650973006905208,5.2542372881355925
filtered,drugs,46100,13361,28.98264642082429,57.15253349300202,62.0,35.0,75.0,65.32445176259262,19.13030461791782
filtered,weapon,31860,11205,35.16949152542373,54.843908969210176,60.0,35.0,70.0,59.660865684962076,13.681392235609103
