model,domain,n_pairs,spearman_rho,p_value
baseline (no filter),drugs,79,0.4439309172055798,4.16731571618818e-05
filtered,drugs,79,0.5112888244361856,1.471093911303511e-06
baseline (no filter),weapon,90,0.19492514738684535,0.06561047535139418
filtered,weapon,90,0.23891621109595865,0.02333991580995225
