domain,K,baseline_overlap,filtered_overlap,delta_pp
drugs,3,0.05683297180043384,0.0692697035430224,1.2436731742588567
drugs,5,0.05405639913232105,0.0632537960954447,0.9197396963123647
drugs,10,0.04863340563991323,0.05609544468546638,0.7462039045553148
drugs,20,0.04236442516268981,0.0493709327548807,0.7006507592190889
weapon,3,0.16886377903327057,0.1613308223477715,-0.7532956685499081
weapon,5,0.15116133082234778,0.15078468298807282,-0.03766478342749624
weapon,10,0.1369114877589454,0.13791588198367857,0.10043942247331683
weapon,20,0.12253609541745135,0.12507846829880728,0.2542372881355934
