domain,method,n_years,n_queries,avg_mae_overall,year_cluster_ci_low,year_cluster_ci_hi,ci_width
drugs,sup_only,18,2305,8.27700650759219,7.788287652426714,8.822831559659644,1.0345439072329299
drugs,sup_llm,18,2305,8.009652928416486,7.545988735607749,8.602955006387678,1.0569662707799283
drugs,tfidf_ridge,18,2305,10.018540997683425,9.50010286900711,10.651829492860061,1.1517266238529515
drugs,llm_best,18,2305,6.632537960954447,6.204402399461142,7.143208468629972,0.9388060691688294
weapon,sup_only,20,1593,16.91337099811676,14.562318015854693,19.791100453403068,5.228782437548375
weapon,sup_llm,20,1593,15.493251726302574,13.505356616588003,18.015315983835006,4.509959367247003
weapon,tfidf_ridge,20,1593,19.35580407441483,16.696528352458287,22.608552592758645,5.912024240300358
weapon,llm_best,20,1593,13.620998116760829,11.87040489896741,15.609895546524164,3.739490647556755
