label,domain,have_coverage,pred_coverage,mean_cands,mae_lo,mae_lo_std,mae_hi,mae_hi_std
Global median (no sim),drugs,1.0,1.0,0.0,8.43123644251627,0.2301312958375278,14.07939262472885,0.24975743569631367
Global median (no sim),weapon,1.0,1.0,0.0,16.666590254511256,0.8511647263563312,25.46149415153118,1.0603907237629941
Citation 1hop ONLY,drugs,0.3080260303687635,0.3080260303687635,0.5032537960954447,6.1928862522433805,0.3847049596303097,9.736274233497216,0.8083551763439311
Citation 1hop ONLY,weapon,0.31264915064950327,0.31264915064950327,0.5148063245753247,11.588675430113,0.8901788209027199,16.476788828938886,1.3566384799748084
Citation 2hop ONLY,drugs,0.4242950108459869,0.4242950108459869,1.491540130151844,8.214194111327703,0.5232407000134996,13.51838901946303,0.7436865857146417
Citation 2hop ONLY,weapon,0.38670428495856113,0.38670428495856113,1.1674425439369895,15.641540445968506,2.131171400606479,20.89338108650499,2.7706919251167323
Citation cocite ONLY,drugs,0.7301518438177874,0.7301518438177874,32.51019522776572,6.206551339547896,0.4679882072882981,9.613720785690305,0.7333442365939606
Citation cocite ONLY,weapon,0.8656791865044378,0.8656791865044378,64.40743549050725,12.590913048714539,1.2591063563417848,19.43826532882137,2.6510254807271183
Citation 1hop+2hop,drugs,0.5175704989154013,0.5175704989154013,1.9947939262472882,7.425880372035328,0.38479046413134477,12.14460839700303,0.6147805268592477
Citation 1hop+2hop,weapon,0.4871745136072415,0.4871745136072415,1.682248868512314,14.043367539292415,1.7961907649471356,19.16587622011921,2.4906561014336117
Citation ALL,drugs,0.793058568329718,0.793058568329718,34.50498915401302,6.03302349999943,0.4492699626121195,9.303577313580746,0.6484199682542181
Citation ALL,weapon,0.9045964850408511,0.9045964850408511,66.08968435901957,12.92666142850295,1.4301519054563459,19.63519519117567,2.777417763983493
