model,domain,n_pairs,n_with_llm_score,coverage_pct,llm_mean,llm_median,pct_ge_50,pct_ge_80
baseline,drugs,46100,46100,100.0,43.87824295010846,35.0,38.98698481561822,8.164859002169198
baseline,weapon,31860,31860,100.0,39.431104833647204,35.0,31.650973006905208,5.2542372881355925
filtered,drugs,46100,46100,100.0,48.58255965292842,48.0,49.92407809110629,10.149674620390456
filtered,weapon,31860,31860,100.0,45.69733207784055,45.0,43.66603892027621,7.548650345260515
