sim_bin,n,low_gap_mean,low_gap_median,high_gap_mean,high_gap_median
0-20,12073,37.03,19.0,53.16,30.0
20-40,42987,19.23,11.0,28.34,18.0
40-60,12252,13.07,8.0,19.63,12.0
60-80,14224,11.93,7.0,18.0,12.0
80-100,3557,10.16,6.0,13.94,8.0
