rel_type,n,mean,median,p25,p75
"1hop,2hop,cocite",134,69.88,75.0,65.0,85.0
"1hop,cocite",605,62.65,65.0,45.0,75.0
"2hop,cocite",413,59.41,65.0,35.0,75.0
"1hop,2hop",778,57.26,63.5,35.0,75.0
1hop,3719,52.84,55.0,35.0,70.0
2hop,3863,48.06,45.0,30.0,65.0
cocite,75581,36.82,35.0,25.0,45.0
